mdng,fr,mdng-remain,fr-remain
Juu,Oiseau," Reesyaktoto, wala lattaori coŋ, wala toŋ syiŋ ga pəbii ne zahe Suu ah pə kərahmo Juu ah ee cok ga mor bii pəɗəkki", 
"Ŋgəəni, paoni, ɗəəni, ro kalle, lal ɗuu kalle","Se dérober, tomber, briser", Relra (roora) kal bel daŋ ɓe Syiŋ rel kelyak (kəvəl) kal ɓe Zah saa ah rel ɓe , 
"Farelle, wala farilli",Le manger," Mawin ge nyi na ne relle Na re rel ɗao ka na gyo 
", 
Cuuri,"Souple, flexible", Joŋ fan yak ge pəcuuri Za maa wak pə bii ka ge pəremme (pəcuuri) Za maa faa pə bii ge pərem jejer ne ko, 
Goo,Arbuste," A lee na əə, za ka ren a, amma za re kan ahe, a soo mor sər na mombai, a pə’nyahre 
", 
"489 Laŋ zahe, somme","Manger, ronger, éroder"," Aru tə re wolle, mo ge ɗao, ru re vər a ba", 
Lwaara farel ɓo tə renra (ryakra) ba,"Manger, dire du mal de qqn en cachette, rumeur, hériter"," Me tə ren (ryak) wolle Za re (ryak) mor dəɓ ne ɓə no ta Re gah zana, re luma, re tə pəə, re wummi, re yaŋ wulli (hulli)", 
"Bai waa, pəɓe’","Dégoutant, horreur,  endroit immonde"," Fan mai nahnən mo kwo pəsah ya daŋ, fan renjea yo Dəfuu ɓeɓra ɓo ne lii ɓəə daŋ a joŋra fan ma renjea pəlli kal fan masah ah ɓe", 
Kəɗe kəɗe (kəɗah kəɗah),"Qualifie un regard méchant, menteur, traitre", Dəɓ ah ee cok reoreo Laŋ nahnən reoreo (kəɗah kəɗah) ɗuu galle Za gak faa: Təker ah reoreo no ta, 
Pənyiŋ pəlli,Exigu," Dəɓ ah pənyiŋ reoreo, so a pə giŋ reoreo ta 
", 
Manəm təjwəə a ɗuu riɗiɗɗiɗ pə ŋhəəre,Fluide, , 
"Mo ee reba, ɓtv yo","Dain, profit, bénéfice, surplus, avantage",, 
"Kooni, ɓooni","Cacher, couvrir, entourer, envelopper, cloturer"," Me ga luma lee yerri ka rii suu ɓe ne ko Za rii suu ne mbəro, za rii tətəl ne njokki ", 
Kiŋni,"Contourner, tourner au tour", Dəɓ ah lal rii ne kəki kalle Riiko kal ɓe , 
"॥iini, veɗyak ne nənni, ɗii ne nənni",Appeler par clin d’oeil," Rĩi dəɓ ne nahnənni Dəɓ gak rĩi dəɓ ne nahnən ka faa ɓə masah ahe, wala faa ɓə ma ɓe’ ah ta Mə ah a rĩi dəɓ ne nən ɓe’", 
"490 Ɓaŋni, kiŋni",Voler," Juu rii (ɓaŋ) we kah təsoo Nyin riira (kiŋra) fan zan ne yella 
", 
Syiŋ tətəlli,Cheveux," Tətəl ah ne rĩi pəlli Rĩi təl ah pəyakke, ka gak soo ya 
", 
Kpee,"Fixement, tout droit"," Pee nahnən tə ɓe rik rik Goo təcem pee tətəl nyi ko rik rik 
", 
"Ɓeɓɓe, gboo",Attraper de moisissure," Mombai syik mo nən ɓe, a rimmi Mombai kəə mə ah a gbooni 
", 
Səŋgəəre,Placenta humain," Fan mai mo pəə fahfal wel moo byaŋni Mawin byaŋ ɓe, rim cwaa, wala rək ya ba Mə faɓal ɗii ne səŋgəəre Madəə ah byaŋ rək səŋgəə ya ba", 
"Dan ga mor bii, muŋ suu mor bii",Faire des plongeons, , 
"Ɓe’, dəɓ ɓe’",Perfidie," Dəɓ ah riŋ mor sər o, mo joŋ yella ne ki", 
"Taani, gbəre","Nettoyer a la main, curer, essuyer, enlever"," Riŋ ɓər ŋhəəre, riŋ cii naa ", 
"Mo ee viŋviŋ, ləŋriŋ, gəriŋ gəriŋ",Agir comme un écervélé , ,
Goo,Striga senegalensis," Riŋ (təkaaməəzuwuŋrĩi) ciŋ mor sor ne zalle, fan ah pəɓe’ pəlli, a in sor yak turtur, təgbana dəɓ ɓoo wii nyi", 
Kwahlle,"Qui aime jouer de sales tours, amuseur"," Mo joŋ yella ne dəɓ moo a pərol, wala pə kwahl pəlli Parolle, warolle", 
"491 Gboŋgboŋ, ɓə sahe","Pardon, conciliation, miséricorde, excuse", Ɓəsah mai dəɓ mo lwaa gin wo dəɓ ki Dəfuu ɗəəra rom (rwam) jol Masəŋ təkolle Mo rom me ɗao (rao), 
Rwah faɓe’,"Pardonner, supporte, miséricorde"," Rom ɓəɓe’ dəɓɓi, wala rom dəɓɓi Dəɓ mo rom dəɓ ɓe, mo ka joŋ ɓəɓe’ wol ah yao, mo kaa jam ne dəɓ ahe Comki rom a cuu ee zahzyilli, wala gban 
zahzyilli Rom faɓe’ ne rwah faɓe’ ɓə tə vaŋno yo", 
Cok mai woiŋ daŋ mo gin zyaŋra ki gŋ,"Articulation, poignet"," Zah rwam, wala rom ɓalle, zah rwam jolle 
", 
"Gbə ɓoo səŋ, rəə zahki","Terrasser, combler"," Wee nyee mo tə ɗaŋra ki ɓe, dəɓ maswah a roŋ dəɓ ma tətəə ah səŋ Za tə ga roŋ el madəwoo tə’nahko", 
"Roɓɓe, ɓeɓɓe","gâté, gaspillé", Goo əə ah roo (ɓeɓ) cok ɓe Dəə roo (ɓeɓ) ’wah ɓe Za faa: Tan mo ɗə ko roo mo ba (zummi) , 
"Syakke, ɓeɓɓe","Barbouiller, salir, amuser, se moquer"," Me joŋ fan ki wo ɓo ya, mo tə roo me təkol ’wel ya ne?", 
Lal kalle,"Se dérobé, partir à l' insu"," Ako so faa ɓə nyi dəɓ ɗə yo, roo kal sə ", 
Ɓəəni,Pincer," Zaluu roora wee nyeere, ’namra (ɗamra) sok nyi ra", 
"Mo ee ruŋ, ɓtv yo","Mur, guéri", , 
Goo roruu (ruruu),Aboyer," Goo roruu tə fahlii, mo ee ɗə, afee ye ne? 
", 
492 Cokfuu,Obscurité," We syee ge ne rum (cokfuu) ah naiko o Rum (cokfuu) ma tə’nah ɗii ne? 
", 
Pəfuu,"Obscur, noir", Wii mai rum ɓo rummi Cok ah ne rummi (pəfuu), 
Rwahe,Eteindre," Za rum wii Wii mo lak faa ɓe, za rumni ka mo syeeko cok pə’man ka 
", 
Ge pətaŋne,Mur," Maŋgo tə ruŋ (roo) o Mənnəə ruŋ (roo) ɓe Goyaɓ ɓaa ruŋra ya ba 
", 
"Fan mbəə daŋ, təgbana voore (boore), leemuŋ, a ruŋ (həraɓ) syel nyi zana","Abimer, gâter"," 
", 
॥ah tənyeere,"Batailler, combattre", Zan Jaman tə ruura sal ne zan Faraasi, 
Ruuni: cuu joŋ fan camcam pəpaare,"Semer, combattre, aboyer"," Ɓeere, maa ga mor sərri, cii lak rək gŋ Bam tə ɓe, za tə ruu sor, ne swaa ne əə daŋ o Me tə ga ruu əə tə’nan ba  ॥ah tənyeere Za Jaaman tə ruura sal ne za Faraasi Za daŋ tə ga ruu salle Cen teŋgeere, pa sababuu Azu ruu nah bal mai ne? Pa ruu ɓəɓe’ Goo tə ruu za tə fahlii ɗah fan yea no ne?", 
"Ru (aru) no tə fahlii, ru (aru) tə ganne",Nous (sens exclusif)," Ru gaɓ ɓo gaɓɓe Ru tə ’yak ba 
", 
"’Nahmme, ɓeɓɓe",Saleté," Mo rwaa ɓə zana Ɓə kŋ ne fahlii ah no, mo tə rwaa ɓə ah rwaa 
", 
493 Baani,Avoir des boutons sur le corps," Nwah rwaa me ɓo wo suu ne lii ah daŋ Təgbiŋ (təgbii) rwaa me pəlli zahmərrĩi 
", 
"Mo ee romme, ɓtv yo",Pardonner le péché, , 
Er syiŋ wo suu na bii,Embaumer," Za Israel mataa rwahra syiŋ wo wulli ka mo soo ka 
", 
Nikki,Lisse," Ka pə ’wah ya, a pə rwahe Zyim rwahe Naabii rwahe Pə rwah na fyahe 
", 
Cuu syiŋ fanne,"Déplumer, enlever les poils"," Me ga rwahl dah gwii zahbii Dəɓ mo tə cwah kah ɓe, a rwahl təə ah lal daŋ ɗao ko cwah ba ", 
"Təəni, zyeɓɓe","Crépir, enduire, récouvrer, peindre, frotter, lisser"," Me tə rwah suu yaŋ ɓe ne simaŋ (simaa), rwah ɓər yaŋ ne təkuuri", 
"Rooni, ɓeɓɓe, surummi","Effacer, exterminer, supprimer, annuler, abolir, boucher,  aplatir"," Rwah fan mai mo ŋwəə ɓo wo suu yaŋ ga lalle Rwah tabəlo, surum (rwah, ɓeɓ, roo) ɓə, rwah (surum) təl ahe Lak nwah ah surum (ndək, njək) ɓe", 
"Mo ee ɓaŋne, ɓtv yo",Arbre, , 
Kpuu yo,Combretum nicrantum," Goo ah pəsyee ko ta, sok ah pənyeere, a giŋ kal rwahsyee ɓe 
", 
"Kpuu yo, goo ah pəsyee na təɗii ahe",Arbre," Za kiŋ nwah ne goo ahe, a gbə nən ah gwari 
", 
"Gbə ɓoo səŋ, zyeɓɓe","Se jetter, renverser, lutter, terrasser, faire le toit plat"," Dəɓ ah pəswah pəlli, a rwaŋ zan rwaŋ toto Rwaŋ (roŋ) zahdəəre", 
494 Joŋ syiŋ wak ge lalle,Tanner avec l'eau chaude, Za rwap wak ne bii cwakke, 
"Mo ee renne, re, ɓtv yo","Rumeur, supçonner, manger", , 
"Njaŋ, goŋga","Effectivement, certainement, avec assurance, absolument", Me kwo fan ah ne nahnən ɓe ryak ryakke Wel ah jur pam ɓo ryak ryakke Za faa ɓə ah ɓoo tətəl nyi ko nə ryakryakke, 
Təə dəɓɓi,"Médire, calomnier, faire un affront, critiquer"," Faa ɓəɓe’ tə dəɓ ki pə muŋni, wala pənyinni Bai ɓe, mo ryaksuu pəlli", 
 Ŋgai goŋ ryaŋra goŋ ɓoo kəsyilli,"Entourer, cerner, encercler, perdre, détourner"," Aŋgeloi Masəŋ ryaŋko ɓo, fan ki ka joŋ (juu) ko ya Za pah lao ryaŋ zah ’wah ka dəə ne gwii mo dəəra ge gŋ ka Mo ɗuu ge ryaŋ, wala saaŋ zah aheMuŋni, rooni Pa byak lak solai goŋ ryaŋ lak ɓo, sai a soko soo Dəɓ ma ryaŋ lak a soko soo lak mai mo ryaŋko ɓo", 
Jaŋjaŋ,Profondement, In mai syen ah moo dan ga pə zahzyilli Fasyen ah dan ge zahzyil ah ryaŋryaŋ nĩi ɓəɓe’ wol ah daŋ ge lalle, 
Toŋgu toŋgu,"Lourdement par extention, pesant, chancelant, trèbuchant", Woora kpuu mayək ah tətəl kal ne ryaŋgu ryaŋgu, 
Ŋgelŋgelle,Fixe," Mo pee nahnən wo ɓe ryikryik (ryakryak) nai tə ɓə feene? 
", 
"Ce ɗulli, ŋgəə ɗulli",Courir, Wee lekol rəkra ɗul kalra ɓe , 
"495 Hai ga pə fanne, ga lalle, dəə","Verser, rejeter, ranger, charger, arroser"," Rək sor pədahe Rək bii pə daŋne, wala pə ŋhəəre, pə tahsah 
", 
Pəlli,Beaucoup noir," Yerri ah pəfuu rənjii, wala rənjii rənjii Lee mbəro (yerri) pəfuu rənjii rənjii ɓoo nyi wel ahe ", 
"Puŋni, pyaŋni, riŋni",Imbiber," Nəə mai nəm ah rəŋ (riŋ) yerri wo suu ah ŋgiɓŋgiɓɓi 
", 
Rəŋ (riŋ) (7) ge tə yea (6),sept," Dəɓ ah ne dəə rəŋ (riŋ), gwii rəŋ (riŋ), ŋwəə rəŋ (riŋ) ta 
", 
"Jojoŋ (dodoŋ), ka ɓərak ya","Courbe, contourné", Za ma joŋra faɓe’ daŋ a syeera fahlii ma rəraa ah ka za mo lwaa kwo yeɓ ɓe’ ɓəə ka , 
"Kikiŋni, ne kahe","Par énigme, caché", Dəɓ ah faa ɓə rərii toto, 
"Kilyakke, kəlakke",Pas bien attaché," Mo ge saa magwii tə wom rəwaa, wəə sal ɓe, mo ge gbə o 
", 
Rəə cuu ɗii fan camcam pəpaare,"Nivelé, lit d’eau, applati, aveugle, devenir aveugle, analphabête (par "," Fahlii bii mai mo zahki Na ge jol rəə ne ki o Bai kwo cokki Dəɓ mai rəə ye ko, tə zyak fahlii, we lak jol ahe  Fan pə cii ɓərri Rəə dəə, rəə gwii Rəə rii kəsyil vəvok ne manjoklii (mabakəzuŋ) ",
,"extention), tâtonner, tâter,Abdomen, diaphram , pancréas",, 
"Dəɓ ah rəə ɓo təmgbəm sə, ka kwo cok biŋ ya","Complètement aveugle, obscurcis",, 
"Woiŋ, hai","Etendre, répendre, applanir, niveler, débleyer"," Rəə swaa, wala sor nən comme ka yakke Rəə təkuu zah yaŋ kaa gŋ", 
496 Ŋgoŋra,Pl," Rəəra, wala rəkra ɗul ne lii ɓəə daŋ kalle ", Courir 
497 Patə jemma gwa tətəl vaŋno (21) syel masyin fanŋwəə zah Mundaŋ,21èmm lettre d’alphabet moundang," Dəɓ mo tə ɗii ɓe, tə’yak pəə təgəə syel ge lal ne swahe, tərĩi (tərən) mgbaa ki ne ləəre  S mo mgbaaki ne w y ɓe, a fer kyaŋ ɓə faani; za ka gak ɗiira syak ɓəə sə ya, sai a taira (tahɓra) ki ne syel masyin fan ŋwəə patə sai ah ɗə: swaa, swahe, syeani, syakke", 
"Gomme, baŋni","Nouer, attacher, lier"," Me tə oo sal ka saa gwii tə wommi Mo pəpaa ɓe, dəɓ faa sar Tə sar gwii təwommi We ge sar dəə o ya ne Za faa: Saa ɓal ŋwəəre no ta, ’yah faa nyi lak tə ŋwəəre Za saa fai wo suu, saa məmməə ka gban juu, wala nəə", 
॥ao,Renforce une demande," Mo nyi me saa Me ’yah won pəlli, mo no ne ɓe, mo nyi me saa Mo gbah jol ɓe saa 
", 
Za saa dəɓɓi,Louange, Goŋ gak saa dəɓ yeɓ sahe , 
"Saani, cuu joŋ fan camcam","Louer, féliciter, coudre, mélanger","  Yiini Me tə saa məlaŋ ah pəlli mor gboŋgboŋ ahe Dəɓ gak faa we am, dəə, wala jee ye we saa ta Cuŋni (toŋni), gbə zah fan ge wo ki Me lee zyim ɓo luma ka saa, wala cuŋ yerri ne ko  Suu ne bii Za saa simaŋ (simaa), summi, vuuri saa Za faa mawin ah saa wol saa, ’yah faa, wol ah ka zee wii ya", 
498 Saaŋ cuu ɗii fan camcam ɓo,"Arc, mortier, mauvais sort","  Fan yeɓ pa gao Za gao kanra guu tə saaŋ ɗəə nəə ne ko Dəɓ ah tə ɗəə saaŋ pəlli  Fan ɗuu sorre Ŋwəə ɗuura sor pə saaŋne Za zyeɓ saaŋ ne kpuu ma yak ahe  Wel ah pəsaaŋ pəlli, mo ge cok fan laŋ ka lwaa ya syee Ee dəɓ saaŋ moo ɗə! Dəɓ saaŋ ye ko", 
"Ɓwakke, kəka","Concerné, interessé, impliqué"," Mo ge ko ya ɓe, ɓə ah saaŋ me ya Mo ɗuu ɓə makol ma təgwii ah mai mo saaŋ ki ɓo ka ne fahlii goŋga ne iŋ ya ɗuu", 
"Məlaŋwin mo joŋ ɗalla ɓe, a təŋ ne saaŋni","Règler, menstruation"," Cok ŋwəə saaŋ ah mo dai ɓe, syim ɗuu tə pel ahe, za faa məlaŋ saaŋ o Məlaŋwin mo təŋ saaŋ ɓe, a gak byaŋ wel ye to o, mo taiki ne za wəə ɓe, a gbə ɓilli", 
"॥əəni, ŋgoŋni",Couper," Sal madəə saaŋ ɓe, saaŋ mbəd ", 
"Ŋgoŋni, ceeni","Couper, tailler, faucher, se coiffer, courir à la rencontre de qqc, qqn"," Za saaŋ faa ne gwəəre Za saaŋ rĩi saaŋ ta Me ga saaŋ tətəlli, ’yah faa: Me ga saaŋ rĩi Madəə tə ɗuu ganne, mo ge saaŋ tətəl ah sa", 
Saa (saa) ɓaŋ (gbə) me ɓo,"Sorcier, sorcière, être sorcier, être sorcière", Saa tə kyahra haihai Mo ee ɓə ma ŋwəə tə masaa, 
Təm vah fanne,Savon, Me yea luma tə lee sabulu , 
॥iɗii ne suu swahe,"Appeler, ou parler à haute voix"," Azu ye sah (hah) ɗii goŋ gin moo ne? Dəɓ ah a sah ɗii sah toto 
", 
499 Ɓal nəə ma kəpelle,Gigot membre superieur," We ɓe ge loo i nəəminni, ɓaŋ sah ah ma jol kəsah nyi nyi me Za ka faa sah loo, sah kah ya, za faa həə loo, həə kahe", 
"Ɓal waare, kah waare","Au pied, ou flan de la montagne", Tə’nan na ge lwaa ki sah waa ŋhaa ba, 
"Re farel kəəni, za faa: Sahɓɓe",Etre rassasié," Ɓər ɓe sahɓ ɓe, me kəə ɓe, me ’yah farel o 
", 
"Woiŋni, rəkki","Couvrir, répendre"," Na daŋ na ge sahɓ faa tə yaŋ Masəŋ man tə’nahko, a juu bii 
", 
Cii malii ah mai ŋwəə mo joŋra yim gŋ,"Grande jarre, alcolique"," Rək yim sah gwa Dəɓ mo zwə yim pəlli ɓe laŋ, za faa: Dəɓ ah sah yo ", 
Rəkki,Pl," Mo ɓaŋ bii sah ge tə kpuu lalle Zah vaŋno ɓe, za faa mo ɓaŋ bii səə ge tə kpuu maŋgo lalle Za sah ɓurdi wo suu"," Verser, arroser, répandre liquide "
Haŋne,"Hanche, rein"," Ŋwəə saara kodel ge sahe Sah mawin ah saaŋ ɓo, a byaŋ wel pəgaɓɓe 
", 
"Sah wii, sum yak wii",Cendres," Kpuu mo sye wii ɓe, a soɓ sahe Sah təm syea Ŋwəə joŋra sah təm ne keesyerre 
", 
"Belbelle, wyakwyakke, woini","Bon, bien, beau, brillant, éblouissant"," Goŋ ma sah ye ko Dəɓ ah dəɓ sah ye ko Zyim mai a pəsahe Za faa bam tə sahe, tə yah gin tanne", 
Farelle,Sésame (penicum turgudum)," Za pəə sahm mor kəə naa Nah sahm a camcam pəpaare, mafai no, masyee no, a ɗii ne sahm naalii; mafuu no, a ɗii ne sahm ɓərma Sahm mo wah (myah) tə sər ɓe, 500 ka gak syen o, nah ah pənyee pəlli Ma ɓe kal ge ka saaŋ sahm ’wahe", 
Faa,"Ronce, chardon"," Sahm ne waa Dəə, gwii a renra sahm ne cuuri, mo tam ɓe, a cur zah nyira, ka ’yahra yao Sahm (sam) ciŋ tə sul pəlli", 
"Fan mai mo yea ɓər fabaani, ɓər nwah",Pus," Sahmme (syamme) jur mənjwaa ɓo Nwah kan sahm ɓe, ’yah toŋ (coŋ) o Ŋhəə sahm (syam) nwahe", 
Sai (3) ge tə gwa (2),"Trois, thé"," Padəə ne gwii sai, dəə sai, ŋwəə sai ta Goo mai za mo zəə zwanne ɗii ne sai ta 
", 
Doole,"Sauf si, a moins que, sinon, excepte, pour vu que, hormis", Sai mo ganne Sai me ga ne mo tao , 
Syiŋ pəbii,Poissons, Syiŋ sai jur gem ɓo , 
"Təwonni, ɓərɓe’, yii suu","Jalousie, envie, orgueil"," Dəɓ ah pəsai pəlli, ’yah ka zan ki mo yea ne fan a 
", 
Fan mai za waa yim mo ɓoora gŋ ka ur yim mo yea pəzwakke,"Levure, levain",, 
Uuni,"Retenu, rester sur place sans bouger"," Yeɓ mai ru tə joŋ ga pə jolle sai ɓo ba, mor lak kəkao Madəə ɓaŋ kpah ɗuu ge sai zahpilli, dəɓ ka gak ga wol ah ya", 
Zyeɓɓe,Réparer des gaines," Za sai lai, sai ciŋ ne wakke Sai yaŋ (kpee) nyahe", 
Taa,Fixement, Me rək nən wol ah sak ee ko pəlli , 
501 Bokkuu (bukuu),Sac pour mettre du mil ou arachides," Fa rək sorre, swaa, wala əə Za rək fan pə sakke", 
Sal mai dəɓ moo saa wo səgəə pərri ka gban zah ah ne ko,Bride," 
", 
"Zyim mai ŋwəə moo saara, wala koora tətəlli","Foulard, mouchoir de tête"," Mawin ah saa salabi syee ɓo 
", 
"Salle, cuu təɗii fan camcam pəpaare ɓo","Corde, lanière, grade, kaolin rouge, guerre, combat, demi hectar"," Fan saa faɓalle (dəə, gwii) Za oo sal ne suu Dəɓ ah kaa ɓo zah yaŋ ah tə oo salle  Dəɓ ah lwaa sal ɓe, mo faa nyi ɗəne daŋ ka laa yo  Ŋwəə mataa taara sal nyi wee pəə ne nəmmi ka suu ɓəə mo yea pəsahe, pərwahe, mo ’wəə ka  Sər maki ga ruu sal ne sər maki ahe Sal Madam, sal jaman Me ga pəə swaa sal vaŋno, əə sal gwa", 
"Toɓ ne bii, ne fan maki ahe",Délayer," Sal won mbəəre, sal summi ", 
"Dəɓ mo tə syee gwari gwari ɓe, ɓal ah a sam (zam) sər təɓtəɓ, wala ŋgim ŋgim",Echos," 
", 
"Mo ee sahmme, ɓtv yo","Ronce, chardon", , 
Jak ɓə mataa nyi zan ki,"Contes, fables"," Tə səə sam 
(syemme) nyi weere Dəɓ ah tə sam ɓo no cam “Sam lee bəvuu, ɓaŋ palpal Sam syeeSam bii pəlaɓ yee tap, sam ɓe i zah ɓe” ", 
"Cii bai suŋni, mai mo lii ne wii ya ba",Pot non cuit," Cii san a dah gwari, ka pəswah ya 
", 
"502 Mo ee macui, ɓtv yo",Heterotis Niloticus, , 
"Mo ee masaŋgəraŋ, ɓtv yo","Crampe, ankylose", , 
"Ŋgoŋ kahe, dəə wala gwii joŋ farel ne, mor pəkəndaŋ ye faa","Offrir, sacrifier pour guerir un malade"," Sao zah pəkəndaŋne, sao dərkwiŋ (jurkpiŋ) ", 
Kuu,Grewia flavenscens," Kuu sao dər kuu cenne, ka giŋ ga səŋ ɓərak ya, lee ah dər lee zyiigoo ryakryakke, a pə jeere Za baŋ kuu kee mbəro ne sal saore Bərəə sao syen suu pəlli ta", 
"Mo ee bargelle, ɓtv yo",Gésier," 
", 
Fa ɓər kahe,Gésier," Sao (bargel) ye joŋ ka farel mo lwaa hər ɓər kahe 
", 
"Mo ee saa, ɓtv yo",Pl," 
", Attacher 
Dəɓ mai moo ee ɓə sər goŋ daŋ,Le Chargé des affaires intérieurs du chef,, 
Vowoi,Juge, Dəɓ ŋgoŋ kiita zahɓel goŋe , 
Fan ma gbə vam zahfah ge wo ki ka ɓaa ne gaari vamme,Pomelle,, 
"Cii fan ma ɗuɗuu, ɗəɗəəni",Echos de ce qui cour, ’Nəə zəə kal sarr Soo ɗuu sarr, 
॥artə,Tout droit," Ŋgəə Yaŋ ah səə sartə (ɗartə) Mo səə pəpaa ɓe, dəɓ faa: Sartə sartə (ɗartə ɗartə) 
", 
"503 Təɗii satan ’yah faa: Pa cen, wala tə zana, pa zyak zana, wala dəfuu pə duniaru daŋ",Satan," 
", 
Syemme,"Jaunisse, ictère"," Dəɓ mo ne syem sawaare ɓe, nahnən ah ne jol daŋ yea pə ɓəə maɗalle (maralle) Koŋ ka iko ya, a nyahni, suu haŋwii Syem ah ge ne təkaa ɓərri, farel maɓea ahe, kŋ", 
"Syee syee, ’yaŋ ’yaŋ","Doucement doucement, marcher tristement"," Mo tə syee seleoseleo ɓə fee joŋ mo ne? Dəɓ mo tə syee seleoseleo ɓe, ka laa ɓə maɓe’ ah ɓo no", 
Təsalle,"Caillou, silexe"," Sembeere a pəfai kaŋkaŋ, a ne syel hərem ta 
", 
"Pəlli, giɓgiɓɓi",Etat de joie ou de peine," Mĩi yee tə ga səŋ nahnən ah siɓsiɓ, wala giɓgiɓ Suu tə ɗuu me siɓ siɓ 
", 
"Pəpaare, bai faa ɓə","Groupes, silencieusement"," Za ɗəəra siɗim siɗim ŋhaano, tə gara kene? A syeera siɗim siɗim ga mor ki 
", 
Goo,Tapioca," Sii ciŋ ne zalle Sum sii pə’nyah pəlli Zyeɓ ah pəgaɓ pəlli ta A nən pəbii zah’nan gwa koo sai ɗə, za sal sum ah ba", 
Fan vuu yaŋ maswah ahe,Ciman," Simaŋ (simaa) mo taiki ne təkuu ɓe, a vuu yaŋ pəyakke, pəswah ta Za vuu yaŋ zəzəəko ne simaŋ (simaa) pəlli", 
"Mo juu ka ba, soɓ ta ɗao (ɗə), pah dai ya ba","Attend, pas encore"," Mo ge ka ba soɓ ta ɗao 
", 
"504 Kanne, ’yah ya, ɓooni","Abandonner, cesser, laisser, confier, renoncer, céder, délaisser, "," Mah wel soɓ wel yaŋ Me ’yah soo ah ya, me soɓ nyi ko ɓe Mo soɓ ɓoo ka, mo gbə ŋgəɗiŋ Dəɓ ah soɓ fahlii Masəŋ ɓe",
,"omettre, suspendre, quitter qqn",, 
"Mo ee feleere, mbərah, ɓtv yo",Petit trou à l’oreille, , 
"Me ka ne lak ka lee yerri wo suu ya, sokanta me ne ma soo lekol wee ne?",Comment ,,
Goo,Feuilles," A kan mor sər za renne, suu goo ah pəmoo, pə’ahe, ɓəl gwa, jur syiŋ suu coi ɓo 
", 
Goo yo,Racine consommable," Sokɗaŋ kan (soo) mor sərri, wee kəpii gwii renra pəlli, fa ren zaluu kpakkpak ye ka 
", 
Fan wo suu,Oreilles," Za laa ɓə ne sokki Sok laa ɓe Ka laa sok ya ne? Za faa: Sok kal təl ta ne? (welle) 
", 
"Jolle, dahkpuu",Branche, Me ga cee sok (jol) kpuu lalle , 
"Swakke, njəkki","Modeler, pétrir"," Sok (swak) wol ge ɓərri Sok ge mor sərri Sok goo pə lakre 
", ? 
"Dəɓ mo nyi fan nyi dəɓ ki ɓe, pa ah joŋ soko (osoko) nyi dəɓ ahe","Merci, salut"," Za faa: Soko baa dah ya (’namme) 
", 
Lakre,Monnaie," Me pəə mbəro lee solai dah sai Me lwaa solai biŋ nai to 
", 
"Yuŋni, wiŋ",Petit tambour," Za sai soldaŋ ne wak ka woŋni, ciŋ təɗii ah sə", 
505 Fan wo suu,"Cou, col de la poterie, goulot"," Sol a kəsyil tətəl ne təɓəzahe Sol nyiŋ no, sol lii (’man) no ta Sol koloba, sol ciiri 
", 
"Rĩi, syiŋ təpel ŋwəəre",Poils du pubis de la femme," Mawin mai ciŋ som pəlli Ako ka ne som ya Syiŋ təpel zawəə ka ɗii ne som ya, a ɗii syiŋtəsahe ", 
Tahni,"Essuyer, enduire, oindre"," Nahnən ɓo pəfai, mo som (swam) ne nəm njee ɗə Dəɓ gak som tətəl ’nahm ne nəm ta 
", 
"Laŋni, reni",Ruminer," Dəɓ ma re wol som (swam) daŋ ɗao ko səə ba Faɓal guu wom ma ɓər ge zahe, jin somme 
(swamme), si jin səə ga ɓər kətaa o", 
Syemme,Gonorrhée," Dəɓ ah ne syem sompir, fa ɗuu tə pel ahe ", 
"Nəə cokki, a yea yaŋ laŋ no",Hérisson," Dəɓ mo juu son ɓe, a coo (coo) ge təki kədələŋ (kədəlyaŋ) 
", 
"Mo ee soo soo, ɓtv yo",Toput fait, , 
"Raa, ɗəŋ","Tordu, courbe, etre deforme"," Faswaa tətəl ɓo soŋ (soo) ɓo tə ga leere, mo zyeɓɓe, wala ɗai də 
", 
"Haŋne, liini, reni","Croquer, mâcher, manger, se compromettre, être impliqué malgré"," Ŋwəə soŋra cii san tə wii ka ee masah ah gŋ Za soŋ (swaŋ) swaa, əə, soŋ woiŋ Za faa dəɓ ah soŋ (swaŋ) syel ne suŋni Za faa soŋ (swaŋ) sər gŋ ta, ’yah faa ge lwaa ɓə ah pəgaɓɓe Soŋ sər pə wolle 
", 
"Masoo, peltaŋne, sooyii, batoroo daŋ, soo ye ra",Serpent," Soo manyeeki ah ra pəɓe’ pəlli, a in dəɓ pə wulli, maki ah ra ko laŋ kara pəɓe’ ya, təgbana soo tə yelle Soo ka ne ɓal ya, a ker (kee) ɓər tə sər kerre", 
"506 Jin ge pəlaŋne, pətaŋne",Rajeuni," Dəɓ ah tam ɓe, so joŋra ko soo cuu ɓo Vuu ah yea yak ɓe, me sah bii gŋ, zəzəə jin ge pəcuu ɓe", 
"Me joŋ soo soo (sonoo sonoo) ka mo ge ko ka, so kalle","Coute que coute, tout fait",, 
Syemme,Dartre," soo sər a rwah dəɓ woo suu, cok nahnənni ", 
"Soo tə yel ka pəɓe’ na soo manyeeki ah ra ya, dəɓ gak cee təyel ne ne təɗii ahe, ciŋ təɗii ahe",Python," 
", 
